"year","local_code","local_name","vehicle_type","maker","model","national_subsidy_manwon","local_subsidy_manwon","total_subsidy_manwon","source"
"2026","4113","성남시","일반승용","테슬라코리아","Model 3 RWD","168","75","243","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4113","성남시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","189","609","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4113","성남시","일반승용","테슬라코리아","Model Y Premium RWD","170","76","246","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4113","성남시","일반승용","테슬라코리아","Model Y Premium Long Range","210","94","304","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4115","의정부시","일반승용","테슬라코리아","Model 3 Performance","200","73","273","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4115","의정부시","일반승용","테슬라코리아","Model 3 RWD","168","61","229","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4115","의정부시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","154","574","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4115","의정부시","일반승용","테슬라코리아","Model Y Premium RWD","170","62","232","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4115","의정부시","일반승용","테슬라코리아","Model Y Premium Long Range","210","77","287","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4117","안양시","일반승용","테슬라코리아","Model 3 Performance","200","85","285","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4117","안양시","일반승용","테슬라코리아","Model 3 RWD","168","71","239","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4117","안양시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","178","598","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4117","안양시","일반승용","테슬라코리아","Model Y Premium RWD","170","72","242","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4117","안양시","일반승용","테슬라코리아","Model Y Premium Long Range","210","89","299","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4119","부천시","일반승용","테슬라코리아","Model 3 Performance","200","60","260","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4119","부천시","일반승용","테슬라코리아","Model 3 RWD","168","50","218","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4119","부천시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","126","546","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4119","부천시","일반승용","테슬라코리아","Model Y Premium RWD","170","51","221","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4119","부천시","일반승용","테슬라코리아","Model Y Premium Long Range","210","63","273","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4121","광명시","일반승용","테슬라코리아","Model 3 Performance","200","140","340","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4121","광명시","일반승용","테슬라코리아","Model 3 RWD","168","117","285","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4121","광명시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","294","714","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4121","광명시","일반승용","테슬라코리아","Model Y Premium RWD","170","119","289","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4121","광명시","일반승용","테슬라코리아","Model Y Premium Long Range","210","147","357","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4122","평택시","일반승용","테슬라코리아","Model 3 Performance","200","100","300","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4122","평택시","일반승용","테슬라코리아","Model 3 RWD","168","84","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4122","평택시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","210","630","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4122","평택시","일반승용","테슬라코리아","Model Y Premium RWD","170","85","255","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4122","평택시","일반승용","테슬라코리아","Model Y Premium Long Range","210","105","315","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4125","동두천시","일반승용","테슬라코리아","Model 3 Performance","200","112","312","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4125","동두천시","일반승용","테슬라코리아","Model 3 RWD","168","94","262","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4125","동두천시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","235","655","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4125","동두천시","일반승용","테슬라코리아","Model Y Premium RWD","170","95","265","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4125","동두천시","일반승용","테슬라코리아","Model Y Premium Long Range","210","117","327","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4127","안산시","일반승용","테슬라코리아","Model 3 Performance","200","80","280","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4127","안산시","일반승용","테슬라코리아","Model 3 RWD","168","67","235","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4127","안산시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","168","588","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4127","안산시","일반승용","테슬라코리아","Model Y Premium RWD","170","68","238","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4127","안산시","일반승용","테슬라코리아","Model Y Premium Long Range","210","84","294","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4128","고양시","일반승용","테슬라코리아","Model 3 Performance","200","80","280","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4128","고양시","일반승용","테슬라코리아","Model 3 RWD","168","67","235","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4128","고양시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","168","588","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4128","고양시","일반승용","테슬라코리아","Model Y Premium RWD","170","68","238","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4128","고양시","일반승용","테슬라코리아","Model Y Premium Long Range","210","84","294","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4129","과천시","일반승용","테슬라코리아","Model 3 Performance","200","100","300","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4129","과천시","일반승용","테슬라코리아","Model 3 RWD","168","84","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4129","과천시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","210","630","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4129","과천시","일반승용","테슬라코리아","Model Y Premium RWD","170","85","255","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4129","과천시","일반승용","테슬라코리아","Model Y Premium Long Range","210","105","315","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4131","구리시","일반승용","테슬라코리아","Model 3 Performance","200","100","300","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4131","구리시","일반승용","테슬라코리아","Model 3 RWD","168","84","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4131","구리시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","210","630","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4131","구리시","일반승용","테슬라코리아","Model Y Premium RWD","170","85","255","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4131","구리시","일반승용","테슬라코리아","Model Y Premium Long Range","210","105","315","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4136","남양주시","일반승용","테슬라코리아","Model 3 Performance","200","60","260","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4136","남양주시","일반승용","테슬라코리아","Model 3 RWD","168","50","218","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4136","남양주시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","126","546","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4136","남양주시","일반승용","테슬라코리아","Model Y Premium RWD","170","51","221","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4136","남양주시","일반승용","테슬라코리아","Model Y Premium Long Range","210","63","273","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4137","오산시","일반승용","테슬라코리아","Model 3 Performance","200","93","293","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4137","오산시","일반승용","테슬라코리아","Model 3 RWD","168","78","246","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4137","오산시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","196","616","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4137","오산시","일반승용","테슬라코리아","Model Y Premium RWD","170","79","249","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4137","오산시","일반승용","테슬라코리아","Model Y Premium Long Range","210","98","308","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4139","시흥시","일반승용","테슬라코리아","Model 3 Performance","200","80","280","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4139","시흥시","일반승용","테슬라코리아","Model 3 RWD","168","67","235","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4139","시흥시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","168","588","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4139","시흥시","일반승용","테슬라코리아","Model Y Premium RWD","170","68","238","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4139","시흥시","일반승용","테슬라코리아","Model Y Premium Long Range","210","84","294","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4141","군포시","일반승용","테슬라코리아","Model 3 Performance","200","96","296","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4141","군포시","일반승용","테슬라코리아","Model 3 RWD","168","81","249","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4141","군포시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","203","623","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4141","군포시","일반승용","테슬라코리아","Model Y Premium RWD","170","82","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4141","군포시","일반승용","테슬라코리아","Model Y Premium Long Range","210","101","311","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4143","의왕시","일반승용","테슬라코리아","Model 3 Performance","200","100","300","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4143","의왕시","일반승용","테슬라코리아","Model 3 RWD","168","84","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4143","의왕시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","210","630","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4143","의왕시","일반승용","테슬라코리아","Model Y Premium RWD","170","85","255","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4143","의왕시","일반승용","테슬라코리아","Model Y Premium Long Range","210","105","315","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4145","하남시","일반승용","테슬라코리아","Model 3 Performance","200","60","260","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4145","하남시","일반승용","테슬라코리아","Model 3 RWD","168","50","218","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4145","하남시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","126","546","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4145","하남시","일반승용","테슬라코리아","Model Y Premium RWD","170","51","221","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4145","하남시","일반승용","테슬라코리아","Model Y Premium Long Range","210","63","273","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4146","용인시","일반승용","테슬라코리아","Model 3 Performance","200","86","286","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4146","용인시","일반승용","테슬라코리아","Model 3 RWD","168","72","240","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4146","용인시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","182","602","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4146","용인시","일반승용","테슬라코리아","Model Y Premium RWD","170","73","243","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4146","용인시","일반승용","테슬라코리아","Model Y Premium Long Range","210","91","301","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4148","파주시","일반승용","테슬라코리아","Model 3 Performance","200","100","300","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4148","파주시","일반승용","테슬라코리아","Model 3 RWD","168","84","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4148","파주시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","210","630","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4148","파주시","일반승용","테슬라코리아","Model Y Premium RWD","170","85","255","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4148","파주시","일반승용","테슬라코리아","Model Y Premium Long Range","210","105","315","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4150","이천시","일반승용","테슬라코리아","Model 3 Performance","200","100","300","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4150","이천시","일반승용","테슬라코리아","Model 3 RWD","168","84","252","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4150","이천시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","210","630","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
